"Name","State","Notes","User","Tags","Created","Runtime","Sweep","adapter_bottleneck","ca_epochs","config","convnet_type","dataset","device","epochs","exp_grp","experiment_name","fixed_memory","increment","init_cls","memory_per_class","memory_size","milestones","model_name","model_postfix","prefix","seed","shuffle","test_only","tuned_epoch","mixup_alpha","mixup_weight","thresh","adapter_init","adapter_residual","ffn_adapter_scalar","ffn_option","add_residual","disable_ca","enable_ca","dist_estim","fisher_weighting","gpus","init_w","wandb_mode","wt_alpha","ensembling","wise_ft","dset_variant","ema","ema_beta","ema_update","ensembling_init","Test acc","Top1 curve","Train acc","Train loss","CA Acc","CA Task","Avg Acc","Final Acc"
"WA_SEED1997_cifar100_224-B10Inc10","finished","-","imad-ma","","2023-11-13T16:30:59.000Z","10501","","64","5","exps/slca/slca_cifar.json","vit-b-p16","cifar100_224","[""0""]","20","LongerT_FisherWA_MainResults","WA_SEED1997","false","10","10","0","0","[18]","slca_cifar","20e","reproduce","[1997]","true","false","","20","0.1","[0.9]","he_init","false","0.1","parallel","","false","","gaussian","false","[""0""]","-1","online","0.5","false","false","0","","","","","91.28","93.794","88.7","0.11701262705028057","92.09","0.0432093963213265","[93.794]","[92.09]"
"FWA_SEED1996_cifar100_224-B10Inc10","finished","-","imad-ma","","2023-11-13T16:26:03.000Z","10810","","64","5","exps/slca/slca_cifar.json","vit-b-p16","cifar100_224","[""0""]","20","LongerT_FisherWA_MainResults","FWA_SEED1996","false","10","10","0","0","[18]","slca_cifar","20e","reproduce","[1996]","true","false","","20","0.1","[0.9]","he_init","false","0.1","parallel","","false","","gaussian","true","[""0"",""1""]","-1","online","0.5","false","false","0","","","","","89.97","95.158","82.96","0.09603858947120898","91.75","0.04452443866059184","[95.158]","[91.75]"
"WA_SEED1993_cifar100_224-B10Inc10","finished","-","imad-ma","","2023-11-13T13:32:37.000Z","10387","","64","5","exps/slca/slca_cifar.json","vit-b-p16","cifar100_224","[""0""]","20","LongerT_FisherWA_MainResults","WA_SEED1993","false","10","10","0","0","[18]","slca_cifar","20e","reproduce","[1993]","true","false","","20","0.1","[0.9]","he_init","false","0.1","parallel","","false","","gaussian","false","[""0"",""1""]","-1","online","0.5","false","false","0","","","","","90.15","95.163","86.82","0.1110866043251008","91.86","0.04101198857650161","[95.163]","[91.86]"
"FWA_SEED1997_cifar100_224-B10Inc10","finished","-","imad-ma","","2023-11-13T13:29:18.000Z","10885","","64","5","exps/slca/slca_cifar.json","vit-b-p16","cifar100_224","[""0""]","20","LongerT_FisherWA_MainResults","FWA_SEED1997","false","10","10","0","0","[18]","slca_cifar","20e","reproduce","[1997]","true","false","","20","0.1","[0.9]","he_init","false","0.1","parallel","","false","","gaussian","true","[""0""]","-1","online","0.5","false","false","0","","","","","90.78","93.575","87.88","0.09845877730986104","92.05","0.04210091081447899","[93.575]","[92.05]"
"FWA_SEED1993_cifar100_224-B10Inc10","finished","-","imad-ma","","2023-11-13T10:35:07.000Z","10637","","64","5","exps/slca/slca_cifar.json","vit-b-p16","cifar100_224","[""0""]","20","LongerT_FisherWA_MainResults","FWA_SEED1993","false","10","10","0","0","[18]","slca_cifar","20e","reproduce","[1993]","true","false","","20","0.1","[0.9]","he_init","false","0.1","parallel","","false","","gaussian","true","[""0"",""1""]","-1","online","0.5","false","false","0","","","","","90.67","95.254","86.66","0.11505119898356496","92.22","0.03756151561625302","[95.254]","[92.22]"
"WA_SEED1996_cifar100_224-B10Inc10","finished","-","imad-ma","","2023-11-13T10:34:49.000Z","10451","","64","5","exps/slca/slca_cifar.json","vit-b-p16","cifar100_224","[""0""]","20","LongerT_FisherWA_MainResults","WA_SEED1996","false","10","10","0","0","[18]","slca_cifar","20e","reproduce","[1996]","true","false","","20","0.1","[0.9]","he_init","false","0.1","parallel","","false","","gaussian","false","[""0""]","-1","online","0.5","false","false","0","","","","","89.79","95.33700000000002","86.36","0.09828781775431708","92.07","0.04565637574531138","[95.33700000000002]","[92.07]"
"WA_SEED1997_cars196_224-B20Inc20","finished","-","imad-ma","","2023-11-13T00:58:35.000Z","7678","","64","5","exps/slca/slca_cars.json","vit-b-p16","cars196_224","[""0""]","50","LongerT_FisherWA_MainResults","WA_SEED1997","false","20","20","0","0","[40]","slca_cars","50e","reproduce","[1997]","true","false","","20","0.1","[0.9]","he_init","false","0.1","parallel","","false","","gaussian","false","[""0"",""1""]","-1","online","0.5","false","false","0","","","","","61.56","79.766","93.06","0.009223288546005884","73.68","0.03475172009927278","[79.766]","[73.68]"
"WA_SEED1996_cars196_224-B20Inc20","finished","-","imad-ma","","2023-11-12T22:40:01.000Z","8302","","64","5","exps/slca/slca_cars.json","vit-b-p16","cars196_224","[""0""]","50","LongerT_FisherWA_MainResults","WA_SEED1996","false","20","20","0","0","[40]","slca_cars","50e","reproduce","[1996]","true","false","","20","0.1","[0.9]","he_init","false","0.1","parallel","","false","","gaussian","false","[""0"",""1""]","-1","online","0.5","false","false","0","","","","","62.74","81.18199999999999","90.46","0.01218697529596587","73.7","0.03479487500248515","[81.18199999999999]","[73.7]"
"FWA_SEED1993_imagenet-r-B10Inc20","finished","-","imad-ma","","2023-11-12T20:59:34.000Z","237666","","64","5","exps/slca/slca_imgnetr.json","vit-b-p16","imagenet-r","[""0""]","20","LongerT_FisherWA_MainResults","FWA_SEED1993","false","20","10","0","0","[40]","slca_imgnetr","50e","reproduce","[1993]","true","false","","20","0.1","[0.9]","he_init","false","0.1","parallel","","false","","gaussian","true","","-1","offline","0.5","","","","","","","","","","","","","","",""
"WA_SEED1993_cars196_224-B20Inc20","finished","-","imad-ma","","2023-11-12T20:32:46.000Z","7623","","64","5","exps/slca/slca_cars.json","vit-b-p16","cars196_224","[""0""]","50","LongerT_FisherWA_MainResults","WA_SEED1993","false","20","20","0","0","[40]","slca_cars","50e","reproduce","[1993]","true","false","","20","0.1","[0.9]","he_init","false","0.1","parallel","","false","","gaussian","false","[""0"",""1""]","-1","online","0.5","false","false","","","","","","61.5","79.795","85.32","0.009513862508659562","72.67","0.032867181072087616","[79.795]","[72.67]"
